       latitude      longitude observation     resiual  prediction  correction
       34.85503      138.77652    -0.01230     0.02133    -0.03363     0.00000
       37.49866      138.77954     0.03280     0.00577     0.02703     0.00000
       37.66752      138.78051     0.01380    -0.01953     0.03333     0.00000
       34.77607      138.78606    -0.01760     0.01645    -0.03405     0.00000
       37.31131      138.78998     0.03200     0.01228     0.01972     0.00000
       34.97057      138.79466     0.00610     0.03964    -0.03354     0.00000
       35.49659      138.81404    -0.02400     0.00590    -0.02990     0.00000
       36.99346      138.83084     0.04590     0.03907     0.00683     0.00000
       34.61000      138.83842     0.00920     0.04449    -0.03529     0.00000
       36.59138      138.84789     0.02590     0.03348    -0.00758     0.00000
       36.25903      138.86541    -0.01180     0.00572    -0.01752     0.00000
       34.71947      138.87647    -0.00070     0.03521    -0.03591     0.00000
       37.77699      138.88044     0.03080    -0.00602     0.03682     0.00000
       35.32160      138.88165    -0.02100     0.01228    -0.03328     0.00000
       35.11002      138.90186     0.01690     0.05210    -0.03520     0.00000
       36.69703      138.90626    -0.01380    -0.00814    -0.00566     0.00000
       35.04724      138.90689    -0.03360     0.00202    -0.03562     0.00000
       36.14275      138.91242     0.00180     0.02345    -0.02165     0.00000
       37.58974      138.92028     0.01640    -0.01278     0.02918     0.00000
       34.86559      138.92225    -0.03420     0.00238    -0.03658     0.00000
       34.91611      138.92482    -0.04000    -0.00350    -0.03650     0.00000
       35.92993      138.92605     0.00080     0.02724    -0.02644     0.00000
       35.20439      138.92835    -0.05790    -0.02263    -0.03527     0.00000
       37.16604      138.93372    -0.02440    -0.03584     0.01144     0.00000
       34.69890      138.93933     0.01190     0.04907    -0.03717     0.00000
       36.77806      138.94482    -0.00580    -0.00192    -0.00388     0.00000
       35.75387      138.94999    -0.00940     0.02068    -0.03008     0.00000
       35.11417      138.97387    -0.03420     0.00266    -0.03686     0.00000
       35.62335      138.97585    -0.00880     0.02380    -0.03260     0.00000
       37.89647      138.98886     0.01350    -0.02722     0.04072     0.00000
       34.75135      138.98982    -0.02010     0.01806    -0.03816     0.00000
       35.01483      138.99793     0.01560     0.05343    -0.03783     0.00000
       37.46772      138.99801     0.02420     0.00122     0.02298     0.00000
       34.92182      139.01369     0.00540     0.04384    -0.03844     0.00000
       36.39535      139.01671     0.02220     0.04063    -0.01843     0.00000
       37.31987      139.02025     0.01250    -0.00361     0.01611     0.00000
       35.51187      139.02578     0.00240     0.03767    -0.03527     0.00000
       35.41535      139.04518     0.00670     0.04341    -0.03671     0.00000
       35.24552      139.04934    -0.04870    -0.01067    -0.03803     0.00000
       36.53926      139.05673    -0.03920    -0.02374    -0.01546     0.00000
       37.66230      139.05912     0.01270    -0.01779     0.03049     0.00000
       36.83735      139.06085    -0.02020    -0.01505    -0.00515     0.00000
       36.23467      139.06664     0.00860     0.03293    -0.02433     0.00000
       34.94976      139.06990    -0.00250     0.03717    -0.03967     0.00000
       37.75206      139.07391     0.03620     0.00203     0.03417     0.00000
       35.98689      139.07569    -0.00490     0.02508    -0.02998     0.00000
       35.00685      139.08197     0.03560     0.07543    -0.03983     0.00000
       34.97186      139.10169    -0.00980     0.03058    -0.04038     0.00000
       35.14860      139.11044    -0.01990     0.02019    -0.04009     0.00000
       37.54034      139.11145    -0.02870    -0.05284     0.02414     0.00000
       34.87847      139.12436    -0.00410     0.03693    -0.04103     0.00000
       34.93931      139.13116     0.02050     0.06163    -0.04113     0.00000
       34.20048      139.13445     0.01000     0.04969    -0.03969     0.00000
       34.23991      139.13757    -0.01140     0.02851    -0.03991     0.00000
       35.26860      139.14241    -0.03450     0.00588    -0.04038     0.00000
       35.61027      139.15723    -0.04260    -0.00447    -0.03813     0.00000
       35.33621      139.16260     0.01020     0.05076    -0.04056     0.00000
       35.04063      139.17103    -0.01050     0.03145    -0.04195     0.00000
       35.88405      139.18220    -0.02420     0.01118    -0.03538     0.00000
       35.42852      139.20487    -0.02160     0.01960    -0.04120     0.00000
       34.33312      139.21094     0.02540     0.06701    -0.04161     0.00000
       36.76969      139.22490    -0.02750    -0.01373    -0.01377     0.00000
       37.82816      139.22604     0.02370    -0.01169     0.03539     0.00000
       37.15762      139.24711     0.00200    -0.00007     0.00207     0.00000
       38.46539      139.25335     0.07390     0.01493     0.05897     0.00000
       36.26769      139.25464     0.02170     0.05233    -0.03063     0.00000
       34.37183      139.25791    -0.05240    -0.00974    -0.04266     0.00000
       35.30490      139.26269     0.01970     0.06333    -0.04363     0.00000
       35.72376      139.26813    -0.01910     0.02147    -0.04057     0.00000
       36.00374      139.26933    -0.05060    -0.01397    -0.03663     0.00000
       34.51963      139.27093    -0.01480     0.02877    -0.04357     0.00000
       35.48264      139.32258    -0.01630     0.02825    -0.04455     0.00000
       36.42163      139.33039    -0.00860     0.02144    -0.03004     0.00000
       36.12095      139.34517    -0.01080     0.02685    -0.03765     0.00000
       37.92938      139.35146     0.02370    -0.01421     0.03791     0.00000
       34.73761      139.35859    -0.01070     0.03559    -0.04629     0.00000
       37.30280      139.36435    -0.00160    -0.00624     0.00464     0.00000
       35.80080      139.36597    -0.02400     0.01931    -0.04331     0.00000
       35.39149      139.36606    -0.04300     0.00345    -0.04645     0.00000
       35.61643      139.36990    -0.01850     0.02673    -0.04523     0.00000
       34.78442      139.38139     0.01360     0.06059    -0.04699     0.00000
       37.03693      139.40223    -0.01190    -0.00127    -0.01063     0.00000
       34.68679      139.43322    -0.02130     0.02652    -0.04782     0.00000
       34.76154      139.43402    -0.00570     0.04248    -0.04818     0.00000
       42.06050      139.44615     0.01420     0.00423     0.00997     0.00000
       38.05618      139.46168    -0.00960    -0.05137     0.04177     0.00000
       35.92550      139.46429    -0.02780     0.01814    -0.04594     0.00000
       35.32668      139.46607    -0.00580     0.04412    -0.04992     0.00000
       35.52141      139.46784     0.00020     0.04957    -0.04937     0.00000
       37.68591      139.47789    -0.01020    -0.03158     0.02138     0.00000
       34.07578      139.47881    -0.05250    -0.00789    -0.04461     0.00000
       35.71037      139.48826    -0.03120     0.01783    -0.04903     0.00000
       36.62417      139.49059     0.01960     0.05219    -0.03259     0.00000
       37.28149      139.50377     0.04500     0.04839    -0.00339     0.00000
       34.12107      139.50385     0.02500     0.07040    -0.04540     0.00000
       36.87225      139.50531    -0.01130     0.01285    -0.02415     0.00000
       38.23069      139.50957     0.00670    -0.04219     0.04889     0.00000
       42.15355      139.51960     0.02460     0.01652     0.00808     0.00000
       35.41927      139.52192    -0.00980     0.04185    -0.05165     0.00000
       37.47346      139.52863    -0.00650    -0.01300     0.00650     0.00000
       38.51120      139.53382     0.05750    -0.00166     0.05916     0.00000
       36.29516      139.54230    -0.02650     0.01771    -0.04421     0.00000
       34.05911      139.54715    -0.01490     0.03069    -0.04559     0.00000
       39.18556      139.54766     0.04660    -0.02202     0.06862     0.00000
       34.09376      139.56176     0.03160     0.07774    -0.04614     0.00000
       37.09725      139.58616    -0.03040    -0.01157    -0.01883     0.00000
       35.16087      139.61384    -0.01490     0.03973    -0.05463     0.00000
       36.66598      139.61925    -0.01610     0.02387    -0.03997     0.00000
       35.66370      139.63065    -0.13140    -0.07617    -0.05523     0.00000
       36.08723      139.63672    -0.04000     0.01273    -0.05273     0.00000
       35.75803      139.64454    -0.05180     0.00369    -0.05549     0.00000
       35.93747      139.65186    -0.02410     0.03074    -0.05484     0.00000
       35.43648      139.65375    -0.00760     0.04889    -0.05649     0.00000
       35.26709      139.66484    -0.02120     0.03543    -0.05663     0.00000
       35.56340      139.67335    -0.03860     0.01864    -0.05724     0.00000
       38.70117      139.67453     0.03140    -0.03170     0.06310     0.00000
       37.32621      139.68635    -0.03670    -0.02376    -0.01294     0.00000
       36.40185      139.72642    -0.03900     0.01564    -0.05464     0.00000
       38.14618      139.74225    -0.00130    -0.03910     0.03780     0.00000
       36.53763      139.75279    -0.02300     0.03133    -0.05433     0.00000
       39.96790      139.77615    -0.00170    -0.05689     0.05519     0.00000
       37.64370      139.79151    -0.01020    -0.01096     0.00076     0.00000
       35.89597      139.79599    -0.02890     0.03388    -0.06278     0.00000
       36.01090      139.79993    -0.05160     0.01128    -0.06288     0.00000
