       latitude      longitude observation     resiual  prediction  correction
       38.05618      139.46168     0.86960    -0.06945     0.93905     0.00000
       35.92550      139.46429     0.21500    -0.04557     0.26057     0.00000
       35.32668      139.46607     0.09280    -0.04681     0.13961     0.00000
       35.52141      139.46784     0.09370    -0.07751     0.17121     0.00000
       37.68591      139.47789     0.76780    -0.11461     0.88241     0.00000
       34.07578      139.47881     0.01400    -0.02573     0.03973     0.00000
       35.71037      139.48826     0.15000    -0.05883     0.20883     0.00000
       36.62417      139.49059     0.44810    -0.05389     0.50199     0.00000
       37.28149      139.50377     0.69370    -0.07534     0.76904     0.00000
       34.12107      139.50385     0.01450    -0.02648     0.04098     0.00000
       36.87225      139.50531     0.56140    -0.04605     0.60745     0.00000
       38.23069      139.50957     0.89510    -0.08331     0.97841     0.00000
       42.15355      139.51960     0.09230    -0.06633     0.15863     0.00000
       35.41927      139.52192     0.06990    -0.08308     0.15298     0.00000
       37.47346      139.52863     0.76560    -0.08206     0.84766     0.00000
       38.51120      139.53382     0.90320    -0.07888     0.98208     0.00000
       36.29516      139.54230     0.33750    -0.04523     0.38273     0.00000
       34.05911      139.54715     0.03220    -0.00554     0.03774     0.00000
       39.18556      139.54766     0.68180    -0.15743     0.83923     0.00000
       34.09376      139.56176     0.00030    -0.03842     0.03872     0.00000
       37.09725      139.58616     0.67920    -0.05192     0.73112     0.00000
       35.16087      139.61384     0.05060    -0.06328     0.11388     0.00000
       36.66598      139.61925     0.48760    -0.06190     0.54950     0.00000
       35.66370      139.63065     0.08860    -0.10986     0.19846     0.00000
       36.08723      139.63672     0.26540    -0.05160     0.31700     0.00000
       35.75803      139.64454     0.15740    -0.06321     0.22061     0.00000
       35.93747      139.65186     0.24690    -0.02287     0.26977     0.00000
       35.43648      139.65375     0.13370    -0.01967     0.15337     0.00000
       35.26709      139.66484     0.08270    -0.04386     0.12656     0.00000
       35.56340      139.67335     0.13390    -0.04280     0.17670     0.00000
       38.70117      139.67453     0.91520    -0.12136     1.03656     0.00000
       37.32621      139.68635     0.82010    -0.05537     0.87547     0.00000
       36.40185      139.72642     0.40560    -0.04541     0.45101     0.00000
       38.14618      139.74225     1.05270    -0.07732     1.13002     0.00000
       36.53763      139.75279     0.49800    -0.02220     0.52020     0.00000
       39.96790      139.77615     0.48210    -0.13915     0.62125     0.00000
       37.64370      139.79151     0.95130    -0.11118     1.06248     0.00000
       35.89597      139.79599     0.20630    -0.05374     0.26004     0.00000
       36.01090      139.79993     0.23560    -0.06269     0.29829     0.00000
       36.97958      139.80575     0.74540    -0.02340     0.76880     0.00000
       38.89460      139.80885     0.94310    -0.12255     1.06565     0.00000
       36.20367      139.81053     0.33280    -0.04113     0.37393     0.00000
       35.78021      139.81281     0.17900    -0.04716     0.22616     0.00000
       35.31170      139.82552     0.09600    -0.03216     0.12816     0.00000
       38.59404      139.83177     1.05850    -0.10666     1.16516     0.00000
       37.46129      139.83552     0.95660    -0.06599     1.02259     0.00000
       39.89113      139.84893     0.52850    -0.13746     0.66596     0.00000
       36.77637      139.85426     0.63430    -0.04181     0.67611     0.00000
       42.45073      139.85767     0.06850    -0.06280     0.13130     0.00000
       34.95408      139.86408     0.02840    -0.05471     0.08311     0.00000
       37.26107      139.87143     0.90790    -0.04355     0.95145     0.00000
       37.92058      139.87941     1.10470    -0.10302     1.20772     0.00000
       35.67546      139.90235     0.17350    -0.02379     0.19729     0.00000
       36.45658      139.90251     0.48780    -0.02165     0.50945     0.00000
       39.20606      139.90772     0.88270    -0.11252     0.99522     0.00000
       36.59895      139.92347     0.55010    -0.04522     0.59532     0.00000
       39.01597      139.92750     0.99040    -0.10126     1.09166     0.00000
       40.57764      139.92812     0.30800    -0.12375     0.43175     0.00000
       36.11481      139.93150     0.31760    -0.02701     0.34461     0.00000
       38.75972      139.95737     1.10140    -0.11182     1.21322     0.00000
       35.14380      139.96847     0.05890    -0.04076     0.09966     0.00000
       37.66929      139.97266     1.13770    -0.07413     1.21183     0.00000
       35.00279      139.97489     0.02490    -0.05882     0.08372     0.00000
       36.30070      139.98777     0.42510    -0.01383     0.43893     0.00000
       35.94029      139.99272     0.24500    -0.03171     0.27671     0.00000
       42.13085      140.00395     0.07570    -0.08035     0.15605     0.00000
       40.09970      140.00550     0.46980    -0.13866     0.60846     0.00000
       40.73063      140.01099     0.29450    -0.09788     0.39238     0.00000
       42.68534      140.01178     0.06330    -0.04999     0.11329     0.00000
       35.78647      140.02475     0.20480    -0.02007     0.22487     0.00000
       40.33940      140.02757     0.39170    -0.12619     0.51789     0.00000
